nthreads,inicializacao,processamento,finalizacao,total
1, 0.000038, 0.303775, 0.000001, 0.303815
1, 0.000020, 0.304444, 0.000001, 0.304465
1, 0.000022, 0.307107, 0.000001, 0.307129
1, 0.000039, 0.301970, 0.000001, 0.302010
1, 0.000025, 0.296895, 0.000001, 0.296920

2, 0.000022, 0.416379, 0.000001, 0.416402
2, 0.000024, 0.410456, 0.000001, 0.410480
2, 0.000039, 0.411791, 0.000000, 0.411830
2, 0.000038, 0.416469, 0.000001, 0.416508
2, 0.000042, 0.410489, 0.000001, 0.410531

4, 0.000038, 0.475957, 0.000001, 0.475996
4, 0.000021, 0.470823, 0.000001, 0.470845
4, 0.000021, 0.483770, 0.000001, 0.483791
4, 0.000022, 0.471783, 0.000001, 0.471806
4, 0.000023, 0.471109, 0.000000, 0.471132

